Interpretation Error
Raw CatSpec Dict
ID;Category;Spec;Method;GroupType;Result;LastLastCatForSpec
C1;Funkcjonalna poprawność;cz1510-adhoc-g-inf-19;adhoc;group;NA;23
C1;Funkcjonalna poprawność;cz1510-adhoc-i-inf-22;adhoc;single;0;14
C1;Funkcjonalna poprawność;cz1510-adhoc-i-inf-24;adhoc;single;NA;24
C1;Funkcjonalna poprawność;cz1510-senor-g-mix-17;senor;group;0;4
C1;Funkcjonalna poprawność;cz1510-senor-g-mix-18;senor;group;0;6
C1;Funkcjonalna poprawność;cz1510-senor-i-mgt-20;senor;single;1;17
C1;Funkcjonalna poprawność;cz1510-senor-i-mgt-21;senor;single;0.5;23
C1;Funkcjonalna poprawność;cz1650-adhoc-g-inf-31;adhoc;group;NA;25
C1;Funkcjonalna poprawność;cz1650-adhoc-i-inf-25;adhoc;single;1;7
C1;Funkcjonalna poprawność;cz1650-adhoc-i-inf-30;adhoc;single;0;23
C1;Funkcjonalna poprawność;cz1650-adhoc-i-inf-32;adhoc;single;0;25
C1;Funkcjonalna poprawność;cz1650-senor-g-inf-33;senor;group;0.25;6
C1;Funkcjonalna poprawność;cz1650-senor-i-inf-26;senor;single;0;8
C1;Funkcjonalna poprawność;cz1650-senor-i-inf-27;senor;single;0;10
C1;Funkcjonalna poprawność;cz1650-senor-i-inf-28;senor;single;0.5;15
C1;Funkcjonalna poprawność;cz1650-senor-i-inf-29;senor;single;0.25;15
C1;Funkcjonalna poprawność;pn1650-adhoc-g-inf-1;adhoc;group;NA;18
C1;Funkcjonalna poprawność;pn1650-senor-g-inf-2;senor;group;0;18
C1;Funkcjonalna poprawność;pn1650-senor-g-inf-3;senor;group;0.3333333;18
C1;Funkcjonalna poprawność;pt0800-adhoc-i-inf-38;adhoc;single;0;23
C1;Funkcjonalna poprawność;pt0800-adhoc-i-inf-39;adhoc;single;NA;23
C1;Funkcjonalna poprawność;pt0800-adhoc-i-inf-47;adhoc;single;NA;25
C1;Funkcjonalna poprawność;pt0800-senor-i-inf-37;senor;single;0;18
C1;Funkcjonalna poprawność;pt0800-senor-i-inf-44;senor;single;NA;19
C1;Funkcjonalna poprawność;pt0930-adhoc-g-mix-40;adhoc;group;NA;19
C1;Funkcjonalna poprawność;pt0930-senor-g-mix-48;senor;group;0.4;8
C1;Funkcjonalna poprawność;pt0930-senor-i-inf-36;senor;single;0;7
C1;Funkcjonalna poprawność;pt0930-senor-i-inf-43;senor;single;NA;12
C1;Funkcjonalna poprawność;pt1130-adhoc-g-mix-45;adhoc;group;1;21
C1;Funkcjonalna poprawność;pt1130-adhoc-g-mix-46;adhoc;group;1;19
C1;Funkcjonalna poprawność;pt1130-senor-g-mix-49;senor;group;0;6
C1;Funkcjonalna poprawność;pt1130-senor-i-inf-41;senor;single;0.5;12
C1;Funkcjonalna poprawność;pt1130-senor-i-inf-42;senor;single;0;5
C1;Funkcjonalna poprawność;pt1330-adhoc-i-inf-35;adhoc;single;1;18
