ID;Category;Spec;Method;GroupType;Result;LastLastCatForSpec
C1;Funkcjonalna poprawność;cz1510-adhoc-g-inf-19;adhoc;group;0;23
C1;Funkcjonalna poprawność;cz1510-adhoc-i-inf-22;adhoc;single;0.05555556;14
C1;Funkcjonalna poprawność;cz1510-adhoc-i-inf-24;adhoc;single;0;24
C1;Funkcjonalna poprawność;cz1510-senor-g-mix-17;senor;group;0.3333333;4
C1;Funkcjonalna poprawność;cz1510-senor-g-mix-18;senor;group;0.1111111;6
C1;Funkcjonalna poprawność;cz1510-senor-i-mgt-20;senor;single;0.1111111;17
C1;Funkcjonalna poprawność;cz1510-senor-i-mgt-21;senor;single;0.1111111;23
C1;Funkcjonalna poprawność;cz1650-adhoc-g-inf-31;adhoc;group;0;25
C1;Funkcjonalna poprawność;cz1650-adhoc-i-inf-25;adhoc;single;0.05555556;7
C1;Funkcjonalna poprawność;cz1650-adhoc-i-inf-30;adhoc;single;0.05555556;23
C1;Funkcjonalna poprawność;cz1650-adhoc-i-inf-32;adhoc;single;0.05555556;25
C1;Funkcjonalna poprawność;cz1650-senor-g-inf-33;senor;group;0.2777778;6
C1;Funkcjonalna poprawność;cz1650-senor-i-inf-26;senor;single;0.2222222;8
C1;Funkcjonalna poprawność;cz1650-senor-i-inf-27;senor;single;0.1111111;10
C1;Funkcjonalna poprawność;cz1650-senor-i-inf-28;senor;single;0.2777778;15
C1;Funkcjonalna poprawność;cz1650-senor-i-inf-29;senor;single;0.2777778;15
C1;Funkcjonalna poprawność;pn1650-adhoc-g-inf-1;adhoc;group;0;18
C1;Funkcjonalna poprawność;pn1650-senor-g-inf-2;senor;group;0.2222222;18
C1;Funkcjonalna poprawność;pn1650-senor-g-inf-3;senor;group;0.2222222;18
C1;Funkcjonalna poprawność;pt0800-adhoc-i-inf-38;adhoc;single;0.05555556;23
C1;Funkcjonalna poprawność;pt0800-adhoc-i-inf-39;adhoc;single;0;23
C1;Funkcjonalna poprawność;pt0800-adhoc-i-inf-47;adhoc;single;0;25
C1;Funkcjonalna poprawność;pt0800-senor-i-inf-37;senor;single;0.05555556;18
C1;Funkcjonalna poprawność;pt0800-senor-i-inf-44;senor;single;0;19
C1;Funkcjonalna poprawność;pt0930-adhoc-g-mix-40;adhoc;group;0;19
C1;Funkcjonalna poprawność;pt0930-senor-g-mix-48;senor;group;0.2222222;8
C1;Funkcjonalna poprawność;pt0930-senor-i-inf-36;senor;single;0.1666667;7
C1;Funkcjonalna poprawność;pt0930-senor-i-inf-43;senor;single;0;12
C1;Funkcjonalna poprawność;pt1130-adhoc-g-mix-45;adhoc;group;0;21
C1;Funkcjonalna poprawność;pt1130-adhoc-g-mix-46;adhoc;group;0;19
C1;Funkcjonalna poprawność;pt1130-senor-g-mix-49;senor;group;0.5;6
C1;Funkcjonalna poprawność;pt1130-senor-i-inf-41;senor;single;0.2222222;12
C1;Funkcjonalna poprawność;pt1130-senor-i-inf-42;senor;single;0.2222222;5
C1;Funkcjonalna poprawność;pt1330-adhoc-i-inf-35;adhoc;single;0.05555556;18
C1;Funkcjonalna poprawność;pt1330-senor-g-mix-50;senor;group;0.3333333;7
C1;Funkcjonalna poprawność;pt1330-senor-i-inf-34;senor;single;0.1111111;18
C1;Funkcjonalna poprawność;wt0800-senor-g-mix-4;senor;group;0.2777778;11
C1;Funkcjonalna poprawność;wt0800-senor-i-inf-5;senor;single;0.1111111;10
C1;Funkcjonalna poprawność;wt0800-senor-i-inf-6;senor;single;0.3333333;10
C1;Funkcjonalna poprawność;wt0800-senor-i-inf-7;senor;single;0.1111111;10
C1;Funkcjonalna poprawność;wt0945-adhoc-i-inf-10;adhoc;single;0.05555556;22
C1;Funkcjonalna poprawność;wt0945-adhoc-i-inf-101;adhoc;single;0.05555556;22
C1;Funkcjonalna poprawność;wt0945-adhoc-i-inf-8;adhoc;single;0.1111111;24
C1;Funkcjonalna poprawność;wt0945-adhoc-i-inf-9;adhoc;single;0.1666667;24
C1;Funkcjonalna poprawność;wt0945-senor-g-mix-11;senor;group;0.1666667;14
C1;Funkcjonalna poprawność;wt0945-senor-g-mix-12;senor;group;0.1111111;8
C1;Funkcjonalna poprawność;wt1650-adhoc-g-mix-13;adhoc;group;0;21
C1;Funkcjonalna poprawność;wt1650-adhoc-i-inf-14;adhoc;single;0;23
C1;Funkcjonalna poprawność;wt1650-senor-g-mix-15;senor;group;0.2777778;14
C1;Funkcjonalna poprawność;wt1650-senor-i-mgt-16;senor;single;0.05555556;21
C2;Dostępność techniczna;cz1510-adhoc-g-inf-19;adhoc;group;0;23
C2;Dostępność techniczna;cz1510-adhoc-i-inf-22;adhoc;single;0.08695652;14
C2;Dostępność techniczna;cz1510-adhoc-i-inf-24;adhoc;single;0.04347826;24
C2;Dostępność techniczna;cz1510-senor-g-mix-17;senor;group;0.3913043;4
C2;Dostępność techniczna;cz1510-senor-g-mix-18;senor;group;0.2608696;6
C2;Dostępność techniczna;cz1510-senor-i-mgt-20;senor;single;0.2608696;17
C2;Dostępność techniczna;cz1510-senor-i-mgt-21;senor;single;0.2173913;23
C2;Dostępność techniczna;cz1650-adhoc-g-inf-31;adhoc;group;0.1304348;25
C2;Dostępność techniczna;cz1650-adhoc-i-inf-25;adhoc;single;0.2173913;7
C2;Dostępność techniczna;cz1650-adhoc-i-inf-30;adhoc;single;0.04347826;23
C2;Dostępność techniczna;cz1650-adhoc-i-inf-32;adhoc;single;0.04347826;25
C2;Dostępność techniczna;cz1650-senor-g-inf-33;senor;group;0.3913043;6
C2;Dostępność techniczna;cz1650-senor-i-inf-26;senor;single;0.3478261;8
C2;Dostępność techniczna;cz1650-senor-i-inf-27;senor;single;0.2608696;10
C2;Dostępność techniczna;cz1650-senor-i-inf-28;senor;single;0.3913043;15
C2;Dostępność techniczna;cz1650-senor-i-inf-29;senor;single;0.3913043;15
C2;Dostępność techniczna;pn1650-adhoc-g-inf-1;adhoc;group;0.1304348;18
C2;Dostępność techniczna;pn1650-senor-g-inf-2;senor;group;0.3043478;18
C2;Dostępność techniczna;pn1650-senor-g-inf-3;senor;group;0.2608696;18
C2;Dostępność techniczna;pt0800-adhoc-i-inf-38;adhoc;single;0.08695652;23
C2;Dostępność techniczna;pt0800-adhoc-i-inf-39;adhoc;single;0.04347826;23
C2;Dostępność techniczna;pt0800-adhoc-i-inf-47;adhoc;single;0;25
C2;Dostępność techniczna;pt0800-senor-i-inf-37;senor;single;0.173913;18
C2;Dostępność techniczna;pt0800-senor-i-inf-44;senor;single;0.08695652;19
C2;Dostępność techniczna;pt0930-adhoc-g-mix-40;adhoc;group;0.08695652;19
C2;Dostępność techniczna;pt0930-senor-g-mix-48;senor;group;0.3478261;8
C2;Dostępność techniczna;pt0930-senor-i-inf-36;senor;single;0.3043478;7
C2;Dostępność techniczna;pt0930-senor-i-inf-43;senor;single;0.173913;12
C2;Dostępność techniczna;pt1130-adhoc-g-mix-45;adhoc;group;0.04347826;21
C2;Dostępność techniczna;pt1130-adhoc-g-mix-46;adhoc;group;0.04347826;19
C2;Dostępność techniczna;pt1130-senor-g-mix-49;senor;group;0.5652174;6
C2;Dostępność techniczna;pt1130-senor-i-inf-41;senor;single;0.3478261;12
C2;Dostępność techniczna;pt1130-senor-i-inf-42;senor;single;0.3478261;5
C2;Dostępność techniczna;pt1330-adhoc-i-inf-35;adhoc;single;0.04347826;18
C2;Dostępność techniczna;pt1330-senor-g-mix-50;senor;group;0.4347826;7
C2;Dostępność techniczna;pt1330-senor-i-inf-34;senor;single;0.3043478;18
C2;Dostępność techniczna;wt0800-senor-g-mix-4;senor;group;0.3913043;11
C2;Dostępność techniczna;wt0800-senor-i-inf-5;senor;single;0.2608696;10
C2;Dostępność techniczna;wt0800-senor-i-inf-6;senor;single;0.4347826;10
C2;Dostępność techniczna;wt0800-senor-i-inf-7;senor;single;0.2608696;10
