ID;GroupType;Method;Yield
5;single;template;18
6;single;template;26
7;single;template;26
16;single;template;21
20;single;template;30
21;single;template;25
26;single;template;19
27;single;template;38
28;single;template;38
29;single;template;41
34;single;template;33
36;single;template;26
37;single;template;25
41;single;template;28
42;single;template;11
43;single;template;33
44;single;template;30
8;single;adhoc;37
9;single;adhoc;34
10;single;adhoc;21
14;single;adhoc;39
22;single;adhoc;10
24;single;adhoc;22
25;single;adhoc;24
30;single;adhoc;37
32;single;adhoc;36
35;single;adhoc;12
38;single;adhoc;25
39;single;adhoc;22
47;single;adhoc;19
51;single;adhoc;24
17;group;template;11
18;group;template;17
12;group;template;23
33;group;template;22
48;group;template;21
50;group;template;23
49;group;template;27
11;group;template;27
4;group;template;28
15;group;template;31
3;group;template;38
2;group;template;35
1;group;adhoc;17
13;group;adhoc;33
19;group;adhoc;24
31;group;adhoc;33
40;group;adhoc;20
45;group;adhoc;13
46;group;adhoc;22
