ID                                  ;Category                            ;Ind-numgroups(templ)                ;Ind-numgroups(adhoc)                ;Group-numgroups(templ)              ;Group-numgroups(adhoc)              ;Result-single                       ;Result-group                        ;EffSize-single                      ;Effsize-group                       ;EffSize-single                      ;Effsize-group                       ;Mean-ai                             ;Mean-ag                             ;Mean-si                             ;Mean-sg                             ;Median-ai                           ;Median-ag                           ;Median-si                           ;Median-sg                           ;Min-ai                              ;Min-ag                              ;Min-si                              ;Min-sg                              ;Max-ai                              ;Max-ag                              ;Max-si                              ;Max-sg                              ;Sum-ai                              ;Sum-ag                              ;Sum-si                              ;Sum-sg                              ;SD-ai                               ;SD-ag                               ;SD-si                               ;SD-sg                               ;var-ai                              ;var-ag                              ;var-si                              ;var-sg                              
C1                                  ;Funkcjonalna poprawnoœæ             ;17                                  ;14                                  ;12                                  ;7                                   ;0.0015                              ;2e-04                               ;0.617647058823529                   ;0.857142857142857                   ;large                               ;large                               ;0.0516                              ;0                                   ;0.1471                              ;0.2546                              ;0.0556                              ;0                                   ;0.1111                              ;0.25                                ;0                                   ;0                                   ;0                                   ;0.1111                              ;0.1667                              ;0                                   ;0.3333                              ;0.5                                 ;0.7222                              ;0                                   ;2.5                                 ;3.0556                              ;0.046                               ;0                                   ;0.0981                              ;0.1071                              ;0.0021                              ;0                                   ;0.0096                              ;0.0115                              
C2                                  ;Dostêpnoœæ techniczna               ;17                                  ;14                                  ;12                                  ;7                                   ;0                                   ;2e-04                               ;0.899159663865546                   ;0.857142857142857                   ;large                               ;large                               ;0.0839                              ;0.087                               ;0.2762                              ;0.3442                              ;0.0652                              ;0.087                               ;0.2609                              ;0.3478                              ;0                                   ;0                                   ;0.087                               ;0.1739                              ;0.2174                              ;0.1739                              ;0.4348                              ;0.5652                              ;1.1739                              ;0.6087                              ;4.6957                              ;4.1304                              ;0.0602                              ;0.0615                              ;0.0971                              ;0.1023                              ;0.0036                              ;0.0038                              ;0.0094                              ;0.0105                              
C3                                  ;Odpornoœæ na wady                   ;17                                  ;14                                  ;12                                  ;7                                   ;0                                   ;2e-04                               ;0.911764705882353                   ;0.857142857142857                   ;large                               ;large                               ;0.0968                              ;0.0783                              ;0.2846                              ;0.3602                              ;0.0968                              ;0.0968                              ;0.2903                              ;0.3548                              ;0.0323                              ;0.0323                              ;0.129                               ;0.2258                              ;0.2903                              ;0.129                               ;0.4194                              ;0.5484                              ;1.3548                              ;0.5484                              ;4.8387                              ;4.3226                              ;0.0633                              ;0.0366                              ;0.0878                              ;0.0931                              ;0.004                               ;0.0013                              ;0.0077                              ;0.0087                              
C4                                  ;Odtwarzalnoœæ                       ;17                                  ;14                                  ;12                                  ;7                                   ;0                                   ;2e-04                               ;0.852941176470588                   ;0.857142857142857                   ;large                               ;large                               ;0.1227                              ;0.1172                              ;0.3032                              ;0.3782                              ;0.1154                              ;0.1282                              ;0.3077                              ;0.3718                              ;0.0256                              ;0.0513                              ;0.1282                              ;0.2564                              ;0.3077                              ;0.1538                              ;0.4103                              ;0.5641                              ;1.7179                              ;0.8205                              ;5.1538                              ;4.5385                              ;0.0653                              ;0.0415                              ;0.0982                              ;0.0991                              ;0.0043                              ;0.0017                              ;0.0096                              ;0.0098                              
C5                                  ;Bezpieczeñstwo (Wolnoœæ od ryzyka)  ;17                                  ;14                                  ;11                                  ;7                                   ;0                                   ;3e-04                               ;0.852941176470588                   ;0.857142857142857                   ;large                               ;large                               ;0.1149                              ;0.1056                              ;0.2775                              ;0.3478                              ;0.1087                              ;0.1087                              ;0.3043                              ;0.3261                              ;0.0435                              ;0.0435                              ;0.1087                              ;0.2391                              ;0.3043                              ;0.1522                              ;0.3696                              ;0.5217                              ;1.6087                              ;0.7391                              ;4.7174                              ;3.8261                              ;0.0629                              ;0.0424                              ;0.0847                              ;0.088                               ;0.004                               ;0.0018                              ;0.0072                              ;0.0078                              
C6                                  ;Kompletnoœæ kontekstowa             ;16                                  ;14                                  ;11                                  ;7                                   ;1e-04                               ;3e-04                               ;0.808035714285714                   ;0.857142857142857                   ;large                               ;large                               ;0.1047                              ;0.0961                              ;0.2457                              ;0.3103                              ;0.0948                              ;0.1034                              ;0.2759                              ;0.2931                              ;0.0517                              ;0.0345                              ;0.0862                              ;0.2241                              ;0.3103                              ;0.1207                              ;0.3276                              ;0.4483                              ;1.4655                              ;0.6724                              ;3.931                               ;3.4138                              ;0.0647                              ;0.0313                              ;0.0765                              ;0.0707                              ;0.0042                              ;0.001                               ;0.0058                              ;0.005                               
C7                                  ;£atwoœæ operowania                  ;16                                  ;14                                  ;8                                   ;7                                   ;0                                   ;7e-04                               ;0.910714285714286                   ;0.857142857142857                   ;large                               ;large                               ;0.1061                              ;0.098                               ;0.2562                              ;0.2839                              ;0.0929                              ;0.1                                 ;0.2643                              ;0.2786                              ;0.0571                              ;0.0286                              ;0.1286                              ;0.2                                 ;0.2857                              ;0.1286                              ;0.3429                              ;0.3857                              ;1.4857                              ;0.6857                              ;4.1                                 ;2.2714                              ;0.0554                              ;0.0324                              ;0.072                               ;0.0589                              ;0.0031                              ;0.001                               ;0.0052                              ;0.0035                              
C8                                  ;Ochrona u¿ytkownika przed b³êdami   ;15                                  ;13                                  ;7                                   ;7                                   ;0                                   ;0.001                               ;0.923076923076923                   ;0.857142857142857                   ;large                               ;large                               ;0.0933                              ;0.1                                 ;0.245                               ;0.2679                              ;0.1                                 ;0.1125                              ;0.25                                ;0.275                               ;0.05                                ;0.0375                              ;0.125                               ;0.2                                 ;0.125                               ;0.125                               ;0.325                               ;0.3125                              ;1.2125                              ;0.7                                 ;3.675                               ;1.875                               ;0.0214                              ;0.0289                              ;0.0679                              ;0.0414                              ;5e-04                               ;8e-04                               ;0.0046                              ;0.0017                              
C9                                  ;Estetyka Interfejsu u¿ytkownika (UI);14                                  ;13                                  ;5                                   ;7                                   ;0                                   ;0.0027                              ;0.901098901098901                   ;0.857142857142857                   ;large                               ;large                               ;0.099                               ;0.1084                              ;0.234                               ;0.269                               ;0.1034                              ;0.1149                              ;0.2529                              ;0.2874                              ;0.0575                              ;0.069                               ;0.1149                              ;0.1954                              ;0.1264                              ;0.1264                              ;0.3103                              ;0.3103                              ;1.2874                              ;0.7586                              ;3.2759                              ;1.3448                              ;0.0191                              ;0.0208                              ;0.0671                              ;0.0464                              ;4e-04                               ;4e-04                               ;0.0045                              ;0.0022                              
C10                                 ;Dostêpnoœæ personalna               ;14                                  ;13                                  ;5                                   ;7                                   ;0                                   ;0.0028                              ;0.923076923076923                   ;0.857142857142857                   ;large                               ;large                               ;0.0957                              ;0.1049                              ;0.2424                              ;0.2617                              ;0.0957                              ;0.1064                              ;0.2553                              ;0.2766                              ;0.0532                              ;0.0638                              ;0.1277                              ;0.2021                              ;0.1277                              ;0.1277                              ;0.3298                              ;0.3191                              ;1.2447                              ;0.734                               ;3.3936                              ;1.3085                              ;0.0213                              ;0.0233                              ;0.0663                              ;0.0449                              ;5e-04                               ;5e-04                               ;0.0044                              ;0.002                               
