ID                                  ;Category                            ;Ind-numgroups(senor)                ;Ind-numgroups(adhoc)                ;Group-numgroups(senor)              ;Group-numgroups(adhoc)              ;Result-single                       ;Result-group                        ;EffSize-single                      ;Effsize-group                       ;EffSize-single                      ;Effsize-group                       ;Mean-ai                             ;Mean-ag                             ;Mean-si                             ;Mean-sg                             ;Median-ai                           ;Median-ag                           ;Median-si                           ;Median-sg                           ;Min-ai                              ;Min-ag                              ;Min-si                              ;Min-sg                              ;Max-ai                              ;Max-ag                              ;Max-si                              ;Max-sg                              ;Sum-ai                              ;Sum-ag                              ;Sum-si                              ;Sum-sg                              ;SD-ai                               ;SD-ag                               ;SD-si                               ;SD-sg                               ;var-ai                              ;var-ag                              ;var-si                              ;var-sg                              
C1                                  ;Funkcjonalna poprawnoœæ             ;15                                  ;10                                  ;12                                  ;2                                   ;0.1854                              ;0.012                               ;0.2                                 ;0.5                                 ;small                               ;large                               ;0.6                                 ;0                                   ;0.7833                              ;0.8625                              ;0.75                                ;0                                   ;1                                   ;1                                   ;0                                   ;0                                   ;0                                   ;0.6                                 ;1                                   ;0                                   ;1                                   ;1                                   ;6                                   ;0                                   ;11.75                               ;10.35                               ;0.4595                              ;0                                   ;0.3115                              ;0.1729                              ;0.2111                              ;0                                   ;0.097                               ;0.0299                              
C2                                  ;Dostêpnoœæ techniczna               ;17                                  ;14                                  ;12                                  ;7                                   ;0.0328                              ;0.1256                              ;0.378151260504202                   ;0.321428571428571                   ;medium                              ;small                               ;0.5476                              ;0.4286                              ;0.8186                              ;0.8361                              ;0.5                                 ;0                                   ;0.875                               ;0.8056                              ;0                                   ;0                                   ;0.2                                 ;0.6                                 ;1                                   ;1                                   ;1                                   ;1                                   ;7.6667                              ;3                                   ;13.9167                             ;10.0336                             ;0.3999                              ;0.5345                              ;0.2214                              ;0.1548                              ;0.16                                ;0.2857                              ;0.049                               ;0.024                               
C3                                  ;Odpornoœæ na wady                   ;17                                  ;14                                  ;12                                  ;7                                   ;0.0049                              ;0.0079                              ;0.546218487394958                   ;0.69047619047619                    ;large                               ;large                               ;0.4881                              ;0.3333                              ;0.7942                              ;0.7963                              ;0.5                                 ;0.3333                              ;0.8571                              ;0.7889                              ;0                                   ;0                                   ;0.1429                              ;0.6471                              ;1                                   ;1                                   ;1                                   ;0.9091                              ;6.8333                              ;2.3333                              ;13.5022                             ;9.5562                              ;0.315                               ;0.3849                              ;0.2351                              ;0.0814                              ;0.0992                              ;0.1481                              ;0.0553                              ;0.0066                              
C4                                  ;Odtwarzalnoœæ                       ;17                                  ;14                                  ;12                                  ;7                                   ;3e-04                               ;0.0063                              ;0.735294117647059                   ;0.714285714285714                   ;large                               ;large                               ;0.4093                              ;0.4048                              ;0.7445                              ;0.7733                              ;0.4318                              ;0.4                                 ;0.75                                ;0.746                               ;0                                   ;0                                   ;0.2                                 ;0.6364                              ;0.8333                              ;1                                   ;1                                   ;0.9167                              ;5.7303                              ;2.8333                              ;12.6572                             ;9.2794                              ;0.2501                              ;0.3498                              ;0.1996                              ;0.1012                              ;0.0625                              ;0.1224                              ;0.0398                              ;0.0102                              
C5                                  ;Bezpieczeñstwo (Wolnoœæ od ryzyka)  ;17                                  ;14                                  ;11                                  ;7                                   ;5e-04                               ;0.0072                              ;0.701680672268908                   ;0.714285714285714                   ;large                               ;large                               ;0.4601                              ;0.4571                              ;0.7663                              ;0.7873                              ;0.5                                 ;0.5                                 ;0.8                                 ;0.7692                              ;0                                   ;0                                   ;0.2727                              ;0.6429                              ;0.875                               ;1                                   ;1                                   ;0.9231                              ;6.4417                              ;3.2                                 ;13.0275                             ;8.6599                              ;0.245                               ;0.3281                              ;0.1844                              ;0.1003                              ;0.06                                ;0.1077                              ;0.034                               ;0.0101                              
C6                                  ;Kompletnoœæ kontekstowa             ;16                                  ;14                                  ;11                                  ;7                                   ;6e-04                               ;0.0042                              ;0.696428571428571                   ;0.74025974025974                    ;large                               ;large                               ;0.4464                              ;0.4647                              ;0.7581                              ;0.7825                              ;0.4722                              ;0.4444                              ;0.8062                              ;0.7333                              ;0                                   ;0.1667                              ;0.3077                              ;0.6875                              ;0.8889                              ;0.875                               ;1                                   ;0.9375                              ;6.25                                ;3.2528                              ;12.129                              ;8.608                               ;0.2514                              ;0.254                               ;0.1771                              ;0.0911                              ;0.0632                              ;0.0645                              ;0.0314                              ;0.0083                              
C7                                  ;£atwoœæ operowania                  ;16                                  ;14                                  ;8                                   ;7                                   ;6e-04                               ;0.0054                              ;0.696428571428571                   ;0.803571428571429                   ;large                               ;large                               ;0.4372                              ;0.4755                              ;0.759                               ;0.7814                              ;0.4143                              ;0.5                                 ;0.7876                              ;0.7847                              ;0                                   ;0.1429                              ;0.3333                              ;0.6364                              ;0.8571                              ;0.7273                              ;1                                   ;0.9474                              ;6.1204                              ;3.3285                              ;12.1441                             ;6.2509                              ;0.2551                              ;0.2054                              ;0.161                               ;0.1141                              ;0.0651                              ;0.0422                              ;0.0259                              ;0.013                               
C8                                  ;Ochrona u¿ytkownika przed b³êdami   ;15                                  ;13                                  ;7                                   ;7                                   ;5e-04                               ;0.003                               ;0.733333333333333                   ;0.897959183673469                   ;large                               ;large                               ;0.429                               ;0.4904                              ;0.7331                              ;0.7668                              ;0.4615                              ;0.4444                              ;0.75                                ;0.8                                 ;0                                   ;0.25                                ;0.2778                              ;0.6                                 ;0.8333                              ;0.6667                              ;1                                   ;0.9                                 ;5.5772                              ;3.4325                              ;10.9972                             ;5.3674                              ;0.2375                              ;0.1463                              ;0.1625                              ;0.1167                              ;0.0564                              ;0.0214                              ;0.0264                              ;0.0136                              
C9                                  ;Estetyka Interfejsu u¿ytkownika (UI);14                                  ;13                                  ;5                                   ;7                                   ;9e-04                               ;0.007                               ;0.714285714285714                   ;0.8                                 ;large                               ;large                               ;0.4277                              ;0.4878                              ;0.7301                              ;0.7678                              ;0.4545                              ;0.5                                 ;0.7381                              ;0.75                                ;0                                   ;0.2222                              ;0.3                                 ;0.68                                ;0.7857                              ;0.6923                              ;1                                   ;0.8636                              ;5.5606                              ;3.4145                              ;10.2217                             ;3.8391                              ;0.2248                              ;0.1677                              ;0.1664                              ;0.0919                              ;0.0505                              ;0.0281                              ;0.0277                              ;0.0084                              
C10                                 ;Dostêpnoœæ personalna               ;14                                  ;13                                  ;5                                   ;7                                   ;8e-04                               ;0.007                               ;0.71978021978022                    ;0.8                                 ;large                               ;large                               ;0.4275                              ;0.483                               ;0.7274                              ;0.7631                              ;0.4545                              ;0.5                                 ;0.7444                              ;0.7222                              ;0                                   ;0.2                                 ;0.3182                              ;0.68                                ;0.8                                 ;0.7143                              ;1                                   ;0.8696                              ;5.5576                              ;3.381                               ;10.1829                             ;3.8154                              ;0.2224                              ;0.1833                              ;0.1602                              ;0.0961                              ;0.0495                              ;0.0336                              ;0.0257                              ;0.0092                              
