"SpecOrder";"MEProb";"PLevel";"Repl"
"1";"40";0;0.01;0
"2";"40";0.0945094509450945;0.02;0
"3";"40";0.264526452645265;0.03;0
"4";"40";0.434743474347435;0.04;0
"5";"40";0.529452945294529;0.05;0
"6";"40";0.625962596259626;0.06;0
"7";"40";0.726172617261726;0.07;0
"8";"40";0.772777277727773;0.08;0
"9";"40";0.875387538753875;0.09;0
"10";"40";0.922892289228923;0.1;0
"11";"40";0.95049504950495;0.11;0
"12";"40";0.951595159515952;0.12;0
"13";"40";0.951595159515952;0.13;0
"14";"40";0.966196619661966;0.14;0
"15";"40";0.975897589758976;0.15;0
"16";"40";0.976897689768977;0.16;0
"17";"40";0.998799879987999;0.17;0
"18";"40";0.998799879987999;0.18;0
"19";"40";1;0.19;0
"20";"40";1;0.2;0
"21";"40";0;0.01;2
"22";"40";0.131813181318132;0.02;2
"23";"40";0.312331233123312;0.03;2
"24";"40";0.474747474747475;0.04;2
"25";"40";0.630763076307631;0.05;2
"26";"40";0.708870887088709;0.06;2
"27";"40";0.812881288128813;0.07;2
"28";"40";0.871487148714872;0.08;2
"29";"40";0.922592259225923;0.09;2
"30";"40";0.938893889388939;0.1;2
"31";"40";0.961696169616962;0.11;2
"32";"40";0.961696169616962;0.12;2
"33";"40";0.969396939693969;0.13;2
"34";"40";0.982198219821982;0.14;2
"35";"40";0.992699269926993;0.15;2
"36";"40";0.992699269926993;0.16;2
"37";"40";0.999799979998;0.17;2
"38";"40";1;0.18;2
"39";"40";1;0.19;2
"40";"40";1;0.2;2
"41";"40";0;0.01;3
"42";"40";0.124612461246125;0.02;3
"43";"40";0.328032803280328;0.03;3
"44";"40";0.490549054905491;0.04;3
"45";"40";0.64956495649565;0.05;3
"46";"40";0.770977097709771;0.06;3
"47";"40";0.858285828582858;0.07;3
"48";"40";0.9001900190019;0.08;3
"49";"40";0.948694869486949;0.09;3
"50";"40";0.971397139713971;0.1;3
"51";"40";0.989198919891989;0.11;3
"52";"40";0.989198919891989;0.12;3
"53";"40";1;0.13;3
"54";"40";1;0.14;3
"55";"40";1;0.15;3
"56";"40";1;0.16;3
"57";"40";1;0.17;3
"58";"40";1;0.18;3
"59";"40";1;0.19;3
"60";"40";1;0.2;3
"61";"40";0;0.01;1
"62";"40";0.121812181218122;0.02;1
"63";"40";0.27962796279628;0.03;1
"64";"40";0.435243524352435;0.04;1
"65";"40";0.598959895989599;0.05;1
"66";"40";0.676267626762676;0.06;1
"67";"40";0.782778277827783;0.07;1
"68";"40";0.847384738473847;0.08;1
"69";"40";0.923992399239924;0.09;1
"70";"40";0.936793679367937;0.1;1
"71";"40";0.959195919591959;0.11;1
"72";"40";0.967996799679968;0.12;1
"73";"40";0.972997299729973;0.13;1
"74";"40";0.982998299829983;0.14;1
"75";"40";0.994299429942994;0.15;1
"76";"40";0.994399439943994;0.16;1
"77";"40";0.999699969997;0.17;1
"78";"40";1;0.18;1
"79";"40";1;0.19;1
"80";"40";1;0.2;1
"81";"40";0;0.01;4
"82";"40";0.131313131313131;0.02;4
"83";"40";0.355735573557356;0.03;4
"84";"40";0.492049204920492;0.04;4
"85";"40";0.674667466746675;0.05;4
"86";"40";0.784278427842784;0.06;4
"87";"40";0.874587458745875;0.07;4
"88";"40";0.956595659565957;0.08;4
"89";"40";0.977697769776978;0.09;4
"90";"40";1;0.1;4
"91";"40";1;0.11;4
"92";"40";1;0.12;4
"93";"40";1;0.13;4
"94";"40";1;0.14;4
"95";"40";1;0.15;4
"96";"40";1;0.16;4
"97";"40";1;0.17;4
"98";"40";1;0.18;4
"99";"40";1;0.19;4
"100";"40";1;0.2;4
"101";"40";0;0.01;5
"102";"40";0.12872574514903;0.02;5
"103";"40";0.354170834166833;0.03;5
"104";"40";0.496499299859972;0.04;5
"105";"40";0.677235447089418;0.05;5
"106";"40";0.777155431086217;0.06;5
"107";"40";0.874174834966993;0.07;5
"108";"40";0.951090218043609;0.08;5
"109";"40";0.976995399079816;0.09;5
"110";"40";1;0.1;5
"111";"40";1;0.11;5
"112";"40";1;0.12;5
"113";"40";1;0.13;5
"114";"40";1;0.14;5
"115";"40";1;0.15;5
"116";"40";1;0.16;5
"117";"40";1;0.17;5
"118";"40";1;0.18;5
"119";"40";1;0.19;5
"120";"40";1;0.2;5
