"SpecOrder";"ValueMargin";"PValue";"Repl"
"1";40;95;0.477247724772477;1
"2";40;90;0.717371737173717;1
"3";40;85;0.768776877687769;1
"4";40;80;0.868186818681868;1
"5";40;75;0.954195419541954;1
"6";40;70;0.993099309930993;1
"7";40;65;1;1
"8";40;60;1;1
"9";40;55;1;1
"10";40;50;1;1
"11";40;95;0.494649464946495;2
"12";40;90;0.712371237123712;2
"13";40;85;0.815481548154815;2
"14";40;80;0.896989698969897;2
"15";40;75;0.973097309730973;2
"16";40;70;0.997799779977998;2
"17";40;65;0.997799779977998;2
"18";40;60;1;2
"19";40;55;1;2
"20";40;50;1;2
"21";40;95;0.50955095509551;3
"22";40;90;0.712071207120712;3
"23";40;85;0.827982798279828;3
"24";40;80;0.888188818881888;3
"25";40;75;0.978697869786979;3
"26";40;70;0.997199719971997;3
"27";40;65;0.997799779977998;3
"28";40;60;0.998499849984999;3
"29";40;55;0.999899989999;3
"30";40;50;1;3
"31";40;95;0.572457245724572;4
"32";40;90;0.744774477447745;4
"33";40;85;0.853985398539854;4
"34";40;80;0.926792679267927;4
"35";40;75;0.976397639763976;4
"36";40;70;0.997399739973997;4
"37";40;65;0.998199819981998;4
"38";40;60;0.998999899989999;4
"39";40;55;1;4
"40";40;50;1;4
"41";40;95;0.644128825765153;5
"42";40;90;0.783056611322264;5
"43";40;85;0.864272854570914;5
"44";40;80;0.934286857371474;5
"45";40;75;0.967593518703741;5
"46";40;70;0.982396479295859;5
"47";40;65;0.985097019403881;5
"48";40;60;0.985097019403881;5
"49";40;55;0.99879975995199;5
"50";40;50;1;5
