SpecOrder;NoRTsActive;NumAffectedNoRTs;NumMatchNoRTs; NumAddedNoRTs;NumDeletedNoRTs
1;117;52;10;34;0
2;150;47;5;33;0
3;151;1;0;1;0
4;166;21;2;15;0
5;172;20;7;6;0
6;222;72;12;50;0
7;224;9;3;2;0
8;231;25;16;7;0
9;233;28;24;2;0
10;239;26;11;6;0
11;261;47;16;22;0
12;272;30;17;11;0
13;276;36;31;4;0
14;278;11;7;2;0
15;292;43;26;14;0
16;301;28;13;9;0
17;304;10;5;3;0
18;312;30;14;8;0
19;312;12;10;0;0
20;341;57;13;29;0
21;342;14;10;1;0
22;359;80;45;17;0
23;359;21;15;0;0
24;367;22;9;8;0
25;378;67;37;11;0
26;381;16;9;3;0
27;382;19;14;1;0
28;384;12;9;2;0
29;384;20;15;0;0
30;384;19;18;0;0
31;387;18;14;3;0
32;387;24;22;0;0
33;389;36;30;2;0
34;390;10;7;1;0
35;393;41;31;3;0
36;394;7;4;1;0
37;395;9;7;1;0
38;395;7;7;0;0
39;399;18;11;4;0
40;399;18;16;0;0
41;400;13;9;1;0
42;400;8;7;0;0

